"Kategorie","Datei","Breite","Hoehe","GroesseBytes","Pfad"
"Angebote","Aroma-Massage.png","1023","1537","1979743","C:\CODEX\festival-website-bilder\Angebote\Aroma-Massage.png"
"Angebote","Roland-Hutner-111.jpeg","1200","896","501640","C:\CODEX\festival-website-bilder\Angebote\Roland-Hutner-111.jpeg"
"Angebote","Roland-Hutner-112.jpeg","1536","1024","373527","C:\CODEX\festival-website-bilder\Angebote\Roland-Hutner-112.jpeg"
"Angebote","Roland-Hutner-Breathwork-115.png","1050","1498","1925353","C:\CODEX\festival-website-bilder\Angebote\Roland-Hutner-Breathwork-115.png"
"Angebote","Roland-Hutner-Klangliege-113.png","1085","1450","2256333","C:\CODEX\festival-website-bilder\Angebote\Roland-Hutner-Klangliege-113.png"
"Angebote","Roland-Hutner-Klangliege-114.png","1536","1024","2422868","C:\CODEX\festival-website-bilder\Angebote\Roland-Hutner-Klangliege-114.png"
"Feuerlauf","Feuerlauf-fire-2-120.jpg","2016","3024","2500076","C:\CODEX\festival-website-bilder\Feuerlauf\Feuerlauf-fire-2-120.jpg"
"Feuerlauf","Feuerlauf-Siluette-FW.jpeg","1200","1600","284415","C:\CODEX\festival-website-bilder\Feuerlauf\Feuerlauf-Siluette-FW.jpeg"
"Feuerlauf","Feuerlauf-Titelbild.png","1080","1920","838694","C:\CODEX\festival-website-bilder\Feuerlauf\Feuerlauf-Titelbild.png"
"Feuerlauf","Feuerlauf-WhatsApp-2026-05-07.jpeg","738","1600","112779","C:\CODEX\festival-website-bilder\Feuerlauf\Feuerlauf-WhatsApp-2026-05-07.jpeg"
"Handpan","Handpan-IMG-2174.jpeg","731","661","157709","C:\CODEX\festival-website-bilder\Handpan\Handpan-IMG-2174.jpeg"
"Handpan","Handpan-IMG-8615.jpeg","1101","1280","357177","C:\CODEX\festival-website-bilder\Handpan\Handpan-IMG-8615.jpeg"
"Handpan","Hilla-Knipper-05.jpeg","1418","1014","369688","C:\CODEX\festival-website-bilder\Handpan\Hilla-Knipper-05.jpeg"
"Speaker","Bettina-Hallifax.png","150","150","29131","C:\CODEX\festival-website-bilder\Speaker\Bettina-Hallifax.png"
"Speaker","Bettina-Hallifax-image001.png","113","150","25535","C:\CODEX\festival-website-bilder\Speaker\Bettina-Hallifax-image001.png"
"Speaker","Charlene-und-Pjotr-Geistige-Ausrichtung.jpg","1024","1536","276654","C:\CODEX\festival-website-bilder\Speaker\Charlene-und-Pjotr-Geistige-Ausrichtung.jpg"
"Speaker","Desiree-Salomon.png","1023","1537","1855406","C:\CODEX\festival-website-bilder\Speaker\Desiree-Salomon.png"
"Speaker","Moderation-Bianka-Hugen.jpg","1280","1280","329950","C:\CODEX\festival-website-bilder\Speaker\Moderation-Bianka-Hugen.jpg"
"Speaker","Renate-Dertinger-a.jpeg","3676","3778","2102091","C:\CODEX\festival-website-bilder\Speaker\Renate-Dertinger-a.jpeg"
"Speaker","Renate-Dertinger-aa.jpeg","2316","2316","1732249","C:\CODEX\festival-website-bilder\Speaker\Renate-Dertinger-aa.jpeg"
"Speaker","Renate-Dertinger-aaa.png","1179","2556","5726916","C:\CODEX\festival-website-bilder\Speaker\Renate-Dertinger-aaa.png"
"Speaker","Riccardo-Avola.jpg","1065","1194","103236","C:\CODEX\festival-website-bilder\Speaker\Riccardo-Avola.jpg"
"Speaker","Roland-Hutner-neues-Foto.jpeg","1537","1023","324565","C:\CODEX\festival-website-bilder\Speaker\Roland-Hutner-neues-Foto.jpeg"
"Speaker","Susanne-Huehn-2019.jpg","3316","4643","1470421","C:\CODEX\festival-website-bilder\Speaker\Susanne-Huehn-2019.jpg"
"Speaker","Thomas-Schmelzer-142.jpg","2000","1333","360813","C:\CODEX\festival-website-bilder\Speaker\Thomas-Schmelzer-142.jpg"
"Speaker","Thomas-Schmelzer-80.jpg","2000","1333","369406","C:\CODEX\festival-website-bilder\Speaker\Thomas-Schmelzer-80.jpg"
"Speaker","Thomas-Schmelzer-89-2.jpg","2000","1333","306183","C:\CODEX\festival-website-bilder\Speaker\Thomas-Schmelzer-89-2.jpg"
"Speaker","Thomas-Schmelzer-99zwei.jpg","2000","1333","432523","C:\CODEX\festival-website-bilder\Speaker\Thomas-Schmelzer-99zwei.jpg"
"Speaker","Verena-Jaus.jpg","788","788","91101","C:\CODEX\festival-website-bilder\Speaker\Verena-Jaus.jpg"
